time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-26 00:00:00+00:00,7,5,155,29
2025-03-27 00:00:00+00:00,19,11,160,46
2025-03-28 00:00:00+00:00,59,17,325,56
2025-03-29 00:00:00+00:00,28,9,137,29
2025-03-30 00:00:00+00:00,16,9,116,19
2025-03-31 00:00:00+00:00,4,4,90,34
2025-04-01 00:00:00+00:00,3,3,112,31
2025-04-02 00:00:00+00:00,1,1,50,26
2025-04-03 00:00:00+00:00,10,9,109,30
2025-04-04 00:00:00+00:00,18,10,74,22
2025-04-05 00:00:00+00:00,5,5,35,17
2025-04-06 00:00:00+00:00,12,10,114,28
2025-04-07 00:00:00+00:00,10,7,143,37
2025-04-08 00:00:00+00:00,10,10,303,50
