time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-02 00:00:00+00:00,1,1,50,26
2025-04-03 00:00:00+00:00,10,9,109,30
2025-04-04 00:00:00+00:00,18,10,74,22
2025-04-05 00:00:00+00:00,5,5,35,17
2025-04-06 00:00:00+00:00,12,10,114,28
2025-04-07 00:00:00+00:00,10,7,143,37
2025-04-08 00:00:00+00:00,10,10,305,52
2025-04-09 00:00:00+00:00,6,5,112,31
2025-04-10 00:00:00+00:00,20,5,190,54
2025-04-11 00:00:00+00:00,27,11,165,40
2025-04-12 00:00:00+00:00,14,9,67,19
2025-04-13 00:00:00+00:00,3,3,30,15
2025-04-14 00:00:00+00:00,20,3,156,41
2025-04-15 00:00:00+00:00,11,5,114,30
