time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-05 00:00:00+00:00,17,2,75,19
2024-09-06 00:00:00+00:00,6,5,170,31
2024-09-07 00:00:00+00:00,2,2,37,13
2024-09-08 00:00:00+00:00,1,1,72,10
2024-09-09 00:00:00+00:00,1,1,173,38
2024-09-10 00:00:00+00:00,6,3,179,32
2024-09-11 00:00:00+00:00,30,7,338,50
2024-09-12 00:00:00+00:00,20,7,420,36
2024-09-13 00:00:00+00:00,72,7,520,39
2024-09-14 00:00:00+00:00,3,1,146,23
2024-09-15 00:00:00+00:00,18,6,44,7
2024-09-16 00:00:00+00:00,112,6,373,18
2024-09-17 00:00:00+00:00,60,3,245,29
2024-09-18 00:00:00+00:00,66,6,861,41
