time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-19 00:00:00+00:00,37,12,175,35
2025-06-20 00:00:00+00:00,7,6,212,16
2025-06-21 00:00:00+00:00,10,7,72,13
2025-06-22 00:00:00+00:00,5,5,182,23
2025-06-23 00:00:00+00:00,10,7,162,27
2025-06-24 00:00:00+00:00,16,5,123,22
2025-06-25 00:00:00+00:00,13,11,161,24
2025-06-26 00:00:00+00:00,7,7,84,17
2025-06-27 00:00:00+00:00,4,2,130,29
2025-06-28 00:00:00+00:00,2,2,29,11
2025-06-29 00:00:00+00:00,34,4,25,12
2025-06-30 00:00:00+00:00,58,16,432,30
2025-07-01 00:00:00+00:00,37,7,434,32
2025-07-02 00:00:00+00:00,58,17,357,33
