time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-16 00:00:00+00:00,7,6,62,12
2025-08-17 00:00:00+00:00,17,12,59,13
2025-08-18 00:00:00+00:00,4,4,130,17
2025-08-19 00:00:00+00:00,6,5,46,10
2025-08-20 00:00:00+00:00,1,1,22,12
2025-08-21 00:00:00+00:00,2,2,53,14
2025-08-22 00:00:00+00:00,27,6,35,17
2025-08-23 00:00:00+00:00,33,11,30,8
2025-08-24 00:00:00+00:00,83,16,54,10
2025-08-25 00:00:00+00:00,24,10,117,24
2025-08-26 00:00:00+00:00,32,14,122,27
2025-08-27 00:00:00+00:00,5,5,24,14
2025-08-28 00:00:00+00:00,6,6,15,12
2025-08-29 00:00:00+00:00,18,7,109,14
