time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-07 00:00:00+00:00,5,5,13,10
2025-09-08 00:00:00+00:00,16,8,40,23
2025-09-09 00:00:00+00:00,16,11,82,14
2025-09-10 00:00:00+00:00,7,7,46,15
2025-09-11 00:00:00+00:00,18,7,191,31
2025-09-12 00:00:00+00:00,23,8,75,21
2025-09-13 00:00:00+00:00,4,4,8,5
2025-09-14 00:00:00+00:00,3,3,13,10
2025-09-15 00:00:00+00:00,15,9,74,27
2025-09-16 00:00:00+00:00,26,7,39,19
2025-09-17 00:00:00+00:00,37,17,55,32
2025-09-18 00:00:00+00:00,34,13,28,15
2025-09-19 00:00:00+00:00,12,8,36,15
2025-09-20 00:00:00+00:00,10,6,12,6
