time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-18 00:00:00+00:00,23.0,7.0,127,14
2024-08-19 00:00:00+00:00,4.0,4.0,167,32
2024-08-20 00:00:00+00:00,1.0,1.0,156,29
2024-08-21 00:00:00+00:00,1.0,1.0,194,28
2024-08-22 00:00:00+00:00,2.0,2.0,370,31
2024-08-23 00:00:00+00:00,1.0,1.0,227,33
2024-08-24 00:00:00+00:00,,,92,13
2024-08-25 00:00:00+00:00,3.0,1.0,67,17
2024-08-26 00:00:00+00:00,5.0,5.0,121,21
2024-08-27 00:00:00+00:00,2.0,2.0,167,26
2024-08-28 00:00:00+00:00,25.0,6.0,415,26
2024-08-29 00:00:00+00:00,20.0,4.0,187,23
2024-08-30 00:00:00+00:00,22.0,4.0,324,31
2024-08-31 00:00:00+00:00,8.0,7.0,64,8
