time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-13 00:00:00+00:00,4,4,8,5
2025-09-14 00:00:00+00:00,3,3,13,10
2025-09-15 00:00:00+00:00,15,9,74,27
2025-09-16 00:00:00+00:00,26,7,39,19
2025-09-17 00:00:00+00:00,37,17,55,32
2025-09-18 00:00:00+00:00,34,13,28,15
2025-09-19 00:00:00+00:00,12,8,36,15
2025-09-20 00:00:00+00:00,10,6,13,7
2025-09-21 00:00:00+00:00,26,7,11,9
2025-09-22 00:00:00+00:00,21,10,116,32
2025-09-23 00:00:00+00:00,9,7,141,27
2025-09-24 00:00:00+00:00,11,3,38,19
2025-09-25 00:00:00+00:00,13,12,109,23
2025-09-26 00:00:00+00:00,5,3,69,20
