time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-20 00:00:00+00:00,9,9,96,38
2025-11-21 00:00:00+00:00,11,7,109,33
2025-11-22 00:00:00+00:00,27,18,121,21
2025-11-23 00:00:00+00:00,12,11,54,17
2025-11-24 00:00:00+00:00,40,22,135,42
2025-11-25 00:00:00+00:00,3,3,78,40
2025-11-26 00:00:00+00:00,27,25,74,27
2025-11-27 00:00:00+00:00,25,18,87,34
2025-11-28 00:00:00+00:00,6,6,145,43
2025-11-29 00:00:00+00:00,4,4,14,7
2025-11-30 00:00:00+00:00,6,5,89,17
2025-12-01 00:00:00+00:00,25,16,62,29
2025-12-02 00:00:00+00:00,10,5,83,22
2025-12-03 00:00:00+00:00,98,50,85,34
