time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-28 00:00:00+00:00,100,16,276,17
2025-05-29 00:00:00+00:00,201,37,629,29
2025-05-30 00:00:00+00:00,32,9,190,33
2025-05-31 00:00:00+00:00,14,8,90,15
2025-06-01 00:00:00+00:00,29,9,75,17
2025-06-02 00:00:00+00:00,8,6,183,24
2025-06-03 00:00:00+00:00,14,7,198,49
2025-06-04 00:00:00+00:00,85,13,349,45
2025-06-05 00:00:00+00:00,89,20,366,36
2025-06-06 00:00:00+00:00,127,21,472,26
2025-06-07 00:00:00+00:00,15,7,127,25
2025-06-08 00:00:00+00:00,2,2,30,16
2025-06-09 00:00:00+00:00,15,4,190,25
2025-06-10 00:00:00+00:00,7,6,355,25
