time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-04 00:00:00+00:00,11,6,138,22
2025-07-05 00:00:00+00:00,7,5,70,10
2025-07-06 00:00:00+00:00,4,4,61,15
2025-07-07 00:00:00+00:00,17,7,195,24
2025-07-08 00:00:00+00:00,9,4,164,19
2025-07-09 00:00:00+00:00,4,2,315,23
2025-07-10 00:00:00+00:00,19,5,175,28
2025-07-11 00:00:00+00:00,19,10,137,22
2025-07-12 00:00:00+00:00,16,9,55,13
2025-07-13 00:00:00+00:00,6,2,186,20
2025-07-14 00:00:00+00:00,21,9,180,27
2025-07-15 00:00:00+00:00,26,8,279,30
2025-07-16 00:00:00+00:00,78,19,219,31
2025-07-17 00:00:00+00:00,20,8,267,24
