time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-01 00:00:00+00:00,29,9,75,17
2025-06-02 00:00:00+00:00,8,6,183,24
2025-06-03 00:00:00+00:00,14,7,198,49
2025-06-04 00:00:00+00:00,85,13,349,45
2025-06-05 00:00:00+00:00,89,20,366,36
2025-06-06 00:00:00+00:00,127,21,472,26
2025-06-07 00:00:00+00:00,15,7,127,25
2025-06-08 00:00:00+00:00,2,2,30,16
2025-06-09 00:00:00+00:00,15,4,190,25
2025-06-10 00:00:00+00:00,8,7,366,25
2025-06-11 00:00:00+00:00,30,14,213,36
2025-06-12 00:00:00+00:00,44,17,176,28
2025-06-13 00:00:00+00:00,11,6,158,23
2025-06-14 00:00:00+00:00,19,12,69,16
