time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-08 00:00:00+00:00,18,10,61,19
2026-05-09 00:00:00+00:00,7,4,39,17
2026-05-10 00:00:00+00:00,10,6,36,12
2026-05-11 00:00:00+00:00,3,3,16,12
2026-05-12 00:00:00+00:00,9,9,38,20
2026-05-13 00:00:00+00:00,17,6,16,13
2026-05-14 00:00:00+00:00,16,15,25,15
2026-05-15 00:00:00+00:00,10,9,11,8
2026-05-16 00:00:00+00:00,142,6,33,7
2026-05-17 00:00:00+00:00,6,4,6,4
2026-05-18 00:00:00+00:00,15,8,18,15
2026-05-19 00:00:00+00:00,18,13,41,13
2026-05-20 00:00:00+00:00,10,8,16,13
2026-05-21 00:00:00+00:00,11,10,29,7
